[2026-03-11 09:40:59,655] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,778] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:40:59,931] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,046] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,195] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,321] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,449] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,582] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,726] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,848] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:00,965] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:01,103] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:01,248] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
[2026-03-11 09:41:01,366] INFO [api_logger:24] IP: 127.0.0.1 | Método: POST | URL: /api/token/
